,year,term,cluster
0,2018,фреймворки_для_разработки,0
1,2018,интернет_вещей,0
2,2018,глубокие_нейронные_сети,0
3,2018,автоматизация_бизнес-процессов,0
4,2018,оптимизация_алгоритмов,1
5,2018,разработка_интерфейсов,1
6,2018,автоматизация_бизнес-процессов,2
7,2018,анализ_больших_данных,2
8,2018,управление_проектами,2
9,2018,обработка_данных_с_помощью_R,3
10,2018,анализ_медиа,3
11,2018,искусственные_нейронные_сети,3
12,2018,разработка_программных_продуктов,3
13,2018,инновационные_технологии,3
14,2018,машинное_обучение,3
15,2018,обработка_данных_в_облаке,3
16,2018,инженерия_проектов,3
17,2018,контроль_качества,3
18,2018,виртуальная_реальность,4
19,2018,алгоритмы_классификации,5
20,2018,программные_архитектуры,5
21,2018,технологии_блокчейн,5
22,2018,алгоритмы_поиска,5
23,2018,нейронаучные_методы,5
24,2018,интеграция_данных,5
25,2018,облачные_вычисления,5
26,2018,анализ_пользовательского_опыта,5
27,2018,кросс-доменный_анализ,5
28,2018,методы_статистического_анализа,5
29,2018,параметрическое_моделирование,6
30,2018,этика_искусственного_интеллекта,6
31,2018,дополненная_реальность,7
32,2018,оптимизация_алгоритмов,7
33,2018,классификация,7
34,2018,тестирование_программного_обеспечения,7
35,2018,облачные_платформы,7
36,2018,взаимодействие_с_клиентами,7
37,2018,управление_проектами_в_IT,8
38,2018,инженерия_проектов,8
39,2018,тестирование_программного_обеспечения_в_медицине,8
40,2018,статистические_методы,9
41,2018,потоковые_данные,9
42,2018,нейронаучные_методы,9
43,2018,квантовые_вычисления,9
44,2018,обработка_естественного_языка,9
45,2018,информационные_технологии,9
46,2019,управление_проектами,0
47,2019,анализ_и_проектирование,0
48,2019,разработка_программных_продуктов,0
49,2019,системы_обработки_запросов,0
50,2019,программирование_на_python,0
51,2019,тестирование_программного_обеспечения,0
52,2019,технологии_блокчейн,0
53,2019,базы_данных,0
54,2019,гибкие_методологии,0
55,2019,разработка_научных_программ,1
56,2019,искусственный_интеллект,2
57,2019,оптимизация_алгоритмов,2
58,2019,графовые_базы_данных,2
59,2019,вычислительная_психология,2
60,2019,прогнозирование_потребностей,2
61,2019,анализ_данных_с_помощью_Python,2
62,2019,стратегический_анализ,2
63,2019,анализ_больших_данных,2
64,2019,параллельное_программирование,2
65,2019,социальные_сети,3
66,2019,искусственные_нейронные_сети,3
67,2019,методы_функционального_анализа,3
68,2019,методы_классификации,3
69,2019,инженерия_данных,4
70,2019,интерфейсы_пользователя,4
71,2019,мультимедийные_технологии,4
72,2019,данные_интернет_вещей,4
73,2019,программная_безопасность,4
74,2019,методы_регрессии,5
75,2019,кодовая_база,5
76,2019,аналитика_пользовательского_опыта,5
77,2019,аппаратное_обеспечение,5
78,2019,блокчейн,5
79,2019,методы_статистического_анализа,5
80,2019,графовые_базы_данных,5
81,2019,супервизорное_обучение,5
82,2019,социальные_сети,6
83,2019,обработка_данных_с_помощью_R,6
84,2019,обработка_естественного_языка,6
85,2019,программное_обеспечение_для_исследования,6
86,2019,дополненная_реальность,6
87,2019,объектно-ориентированное_программирование,7
88,2019,платформы_для_обработки_данных,7
89,2019,информационные_системы_в_медицине,7
90,2019,параллельные_вычисления,7
91,2019,обработка_данных_в_облаке,8
92,2019,подходы_к_обучению,8
93,2019,визуализация_информационных_потоков,8
94,2019,применение_искусственного_интеллекта,9
95,2019,интернет_вещей_в_медицине,9
96,2019,анализ_файловых_систем,9
97,2019,технологии_блокчейн,9
98,2019,использование_больших_данных,9
99,2020,виртуальная_реальность,0
100,2020,информационные_технологии,0
101,2020,анализ_рисков,0
102,2020,разработка_научных_программ,0
103,2020,криптографические_протоколы,0
104,2020,разработка_систем_управления,1
105,2020,облачные_платформы,1
106,2020,мультимедийные_технологии,1
107,2020,парадигмы_программирования,1
108,2020,программное_обеспечение_для_исследования,1
109,2020,интеграция_данных,2
110,2020,разработка_интерфейсов,2
111,2020,аналитика_отзывов,2
112,2020,интеллектуальный_анализ_данных,2
113,2020,социальные_сети,2
114,2020,интернет_вещей,2
115,2020,базы_данных,2
116,2020,информационные_системы_в_медицине,2
117,2020,разработка_систем_управления,2
118,2020,системы_рекомендаций,2
119,2020,потоковые_данные,3
120,2020,инструменты_для_анализа,3
121,2020,изучение_данных,3
122,2020,платформы_для_обработки_данных,3
123,2020,биоинформатика,3
124,2020,обработка_изображений,3
125,2020,параметрическое_моделирование,3
126,2020,анализ_сетевого_трафика,3
127,2020,обработка_текстов,3
128,2020,программные_платформы,3
129,2020,киберугрозы,4
130,2020,объектно-ориентированное_программирование,4
131,2020,разработка_программных_продуктов,4
132,2020,биоинформатика,4
133,2020,данные_интернет_вещей,4
134,2020,инфраструктура_как_код,4
135,2020,системы_управления_базами_данных,4
136,2020,инфраструктура_как_код,5
137,2020,программирование_на_python,5
138,2020,инфраструктура_как_код,6
139,2020,психометрические_методы,6
140,2020,системы_информационного_управления,6
141,2020,модели_принятия_решений,6
142,2020,обработка_данных_в_облаке,7
143,2020,графовые_базы_данных,7
144,2020,технологии_умного_дома,7
145,2020,управление_базами_данных,7
146,2020,стратегический_анализ,7
147,2020,методы_статистического_анализа,7
148,2020,прогнозирование_потребностей,7
149,2020,киберугрозы,7
150,2020,обработка_данных_на_Python,7
151,2020,параллельные_вычисления,8
152,2020,аналитика_пользовательского_опыта,8
153,2020,анализ_сетевого_трафика,8
154,2020,изучение_данных,8
155,2020,интеллектуальные_системы,8
156,2020,объектно-ориентированное_программирование,8
157,2020,анализ_данных,8
158,2020,кибербезопасность,8
159,2020,кросс-платформенная_разработка,8
160,2020,методы_классификации,8
161,2020,программное_обеспечение_для_анализа,9
162,2020,веб_аналитика,9
163,2020,параллельные_вычисления,9
164,2020,анализ_больших_данных,9
165,2021,обработка_случайных_процессов,0
166,2021,киберугрозы,0
167,2021,системы_распознавания_голоса,0
168,2021,программная_безопасность,0
169,2021,блокчейн,1
170,2021,веб-технологии,1
171,2021,использование_больших_данных,1
172,2021,управление_проектами_в_IT,1
173,2021,инженерия_проектов,1
174,2021,кросс-платформенная_разработка,1
175,2021,контейнеризация,1
176,2021,обработка_данных_с_помощью_R,2
177,2021,разработка_интерфейсов,2
178,2021,автоматизация_бизнес-процессов,2
179,2021,мобильные_технологии,2
180,2021,стратегический_анализ,3
181,2021,инновационные_методы_анализа,3
182,2021,прогнозирование_потребностей,3
183,2021,алгоритмы_поиска,3
184,2021,психометрические_методы,3
185,2021,обработка_данных_в_облаке,3
186,2021,системы_передачи_данных,4
187,2021,методы_статистического_анализа,4
188,2021,анализ_пользовательского_опыта,4
189,2021,пользовательский_интерфейс,4
190,2021,разработка_научных_программ,4
191,2021,машинное_обучение,4
192,2021,оптимизация_производительности,4
193,2021,виртуальная_реальность,5
194,2021,графовые_базы_данных,6
195,2021,классификация,7
196,2021,управление_базами_данных,7
197,2021,системы_больших_данных,7
198,2021,параллельное_программирование,7
199,2021,программные_платформы,7
200,2021,робототехника,8
201,2021,дополненная_реальность,8
202,2021,управление_базами_данных,8
203,2021,аналитика_данных_в_облаке,8
204,2021,разработка_приложений,8
205,2021,анализ_данных_в_реальном_времени,8
206,2021,системы_рекомендаций,8
207,2021,временные_ряды,8
208,2021,программные_платформы,8
209,2021,обработка_естественного_языка,9
210,2021,блокчейн,9
211,2021,глубокое_обучение,9
212,2021,инфраструктура_облачных_вычислений,9
213,2021,параллельные_вычисления,9
214,2021,программные_архитектуры,9
215,2021,информационные_системы,9
216,2021,пользовательский_интерфейс,9
217,2021,системы_анализа,9
218,2021,анализ_больших_данных,9
219,2022,программное_обеспечение_для_анализа,0
220,2022,машинное_обучение,1
221,2022,автоматизация_бизнес-процессов,1
222,2022,анализ_текстов,1
223,2022,гибридные_облачные_системы,1
224,2022,обработка_звука,1
225,2022,анализ_бизнес-данных,1
226,2022,интернет_вещей_в_медицине,1
227,2022,облачные_технологии,2
228,2022,веб_аналитика,2
229,2022,интернет_вещей_в_медицине,2
230,2022,аналитика_данных_в_облаке,3
231,2022,автономные_системы,3
232,2022,временные_ряды,3
233,2022,облачные_вычисления,3
234,2022,анализ_и_проектирование,3
235,2022,управление_базами_данных,3
236,2022,автоматизация_бизнес-процессов,4
237,2022,пользовательский_интерфейс,4
238,2022,информационные_технологии,4
239,2022,криптографические_протоколы,4
240,2022,разработка_интерфейсов,4
241,2022,интеллектуальный_поиск,4
242,2022,программирование_на_python,4
243,2022,компьютерное_зрение,4
244,2022,кросс-доменный_анализ,5
245,2022,потоковые_данные,5
246,2022,облачные_технологии,5
247,2022,обработка_естественного_языка,5
248,2022,данные_в_облаке,5
249,2022,большие_данные,5
250,2022,глубокие_нейронные_сети,5
251,2022,интеллектуальные_системы,5
252,2022,программная_безопасность,6
253,2022,нейронаучные_методы,6
254,2022,облачные_услуги,6
255,2022,анализ_текстов,6
256,2022,программные_архитектуры,6
257,2022,интеллектуальный_поиск,6
258,2022,криптографические_протоколы,6
259,2022,кибербезопасность,6
260,2022,интеллектуальные_системы,7
261,2022,обработка_многоязычных_данных,7
262,2022,квантовые_вычисления,7
263,2022,управление_базами_данных,7
264,2022,интеллектуальный_анализ_данных,7
265,2022,кросс-платформенная_разработка,7
266,2022,программное_обеспечение_для_анализа,7
267,2022,аналитика_отзывов,7
268,2022,предиктивная_модель,7
269,2022,компьютерное_зрение,7
270,2022,большие_данные,8
271,2022,разработка_интерфейсов,9
272,2022,мультимедийные_технологии,9
273,2022,глубокое_обучение,9
274,2022,агентные_технологии,9
275,2022,обработка_данных_в_облаке,9
276,2022,оптимизация_производительности,9
277,2023,функциональное_программирование,0
278,2023,инженерия_данных,0
279,2023,глубокие_нейронные_сети,0
280,2023,разработка_интерфейсов,0
281,2023,данные_интернет_вещей,1
282,2023,супервизорное_обучение,1
283,2023,интеллектуальный_анализ_данных,1
284,2023,обработка_языков,1
285,2023,информационные_системы_в_медицине,1
286,2023,пользовательский_интерфейс,1
287,2023,изучение_данных,1
288,2023,данные_в_облаке,1
289,2023,обработка_данных_с_помощью_SQL,2
290,2023,интеграция_данных,2
291,2023,обработка_изображений,2
292,2023,графовые_базы_данных,3
293,2023,пользовательский_интерфейс,3
294,2023,робототехника,3
295,2023,облачные_услуги,3
296,2023,обработка_текстов,3
297,2023,анализ_текстов,3
298,2023,параллельное_программирование,3
299,2023,фреймворки_для_разработки,3
300,2023,статистические_методы,3
301,2023,психометрические_методы,4
302,2023,прогнозирование_потребностей,4
303,2023,биоинформатика,4
304,2023,инфраструктура_облачных_вычислений,4
305,2023,криптография,4
306,2023,данные_в_облаке,5
307,2023,анализ_файловых_систем,6
308,2023,искусственные_нейронные_сети,6
309,2023,супервизорное_обучение,6
310,2023,биоинформатика,6
311,2023,дополненная_реальность,6
312,2023,глубокое_обучение,7
313,2023,обработка_случайных_процессов,7
314,2023,гибкие_методологии,7
315,2023,вычислительная_психология,7
316,2023,моделирование_бизнес-процессов,7
317,2023,информационные_технологии,7
318,2023,визуализация_информационных_потоков,8
319,2023,обработка_текстов,8
320,2023,блокчейн,8
321,2023,инфраструктура_облачных_вычислений,9
322,2023,программные_архитектуры,9
323,2023,тестирование_программного_обеспечения,9
324,2023,инновационные_технологии,9
325,2023,программные_платформы,9
326,2023,базы_данных,9
327,2023,параметрическое_моделирование,9
328,2023,разработка_интерфейсов,9
329,2023,оптимизация_алгоритмов,9
330,2024,аналитика_данных_в_облаке,0
331,2024,пользовательский_интерфейс,0
332,2024,информационные_системы,0
333,2024,взаимодействие_с_клиентами,0
334,2024,обработка_случайных_процессов,0
335,2024,парадигмы_программирования,0
336,2024,интеллектуальный_поиск,0
337,2024,программная_инженерия_в_медицине,1
338,2024,управление_проектами,2
339,2024,информационные_системы,2
340,2024,анализ_медиа,2
341,2024,обработка_звука,2
342,2024,обработка_звука,3
343,2024,информационные_системы_в_медицине,3
344,2024,обработка_текстов,4
345,2024,прогнозирование_потребностей,4
346,2024,кросс-доменное_обучение,4
347,2024,графовые_базы_данных,4
348,2024,биоинформатика,5
349,2024,аналитические_методы,5
350,2024,анализ_систем,5
351,2024,инфраструктура_облачных_вычислений,5
352,2024,обработка_геоданных,5
353,2024,интернет_вещей_в_медицине,5
354,2024,интернет_маркетинг,5
355,2024,анализ_бизнес-данных,5
356,2024,контроль_качества,6
357,2024,системы_рекомендаций,6
358,2024,инструменты_для_анализа,7
359,2024,автоматизация_бизнес-процессов,7
360,2024,взаимодействие_с_клиентами,7
361,2024,анализ_текстов,7
362,2024,машинное_обучение,7
363,2024,разработка_систем_управления,7
364,2024,параллельные_вычисления,7
365,2024,облачные_вычисления,7
366,2024,прогнозная_аналитика,8
367,2024,программная_инженерия_в_медицине,9
368,2024,фреймворки_для_разработки,9
369,2024,интернет_вещей_в_медицине,9
370,2024,инженерия_проектов,9
371,2024,обработка_данных_с_помощью_SQL,9
372,2024,подходы_к_обучению,9
373,2024,аналитика_отзывов,9
374,2024,анализ_медиа,9
375,2024,обработка_данных_в_облаке,9
