,year,term,cluster_name,cluster,unique_cluster_name
0,2018,information,USER EXPERIENCE,2,2018 2
1,2018,globe_newswire,MYRIAD X,5,2018 5
2,2018,time,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
3,2018,news,USER EXPERIENCE,2,2018 2
4,2018,product,USER EXPERIENCE,2,2018 2
5,2018,mobile_device,USER EXPERIENCE,2,2018 2
6,2018,real_world,AUTONOMOUS VEHICLE,8,2018 8
7,2018,next_step,USER EXPERIENCE,2,2018 2
8,2018,robot,AUTONOMOUS VEHICLE,8,2018 8
9,2018,artificial_intelligence,CHALLENGING TASK,3,2018 3
10,2018,machine_learning,CHALLENGING TASK,3,2018 3
11,2018,large_amount,CHALLENGING TASK,3,2018 3
12,2018,video,"1,000 CATEGORY",1,2018 1
13,2018,research_team,CHALLENGING TASK,3,2018 3
14,2018,training_time,SEMANTIC SEGMENTATION,6,2018 6
15,2018,key_player,MYRIAD X,5,2018 5
16,2018,data,CHALLENGING TASK,3,2018 3
17,2018,paper,"1,000 CATEGORY",1,2018 1
18,2018,system,ADDITIONAL HARDWARE,4,2018 4
19,2018,android_app,USER EXPERIENCE,2,2018 2
20,2018,late_version,USER EXPERIENCE,2,2018 2
21,2018,blog_post,USER EXPERIENCE,2,2018 2
22,2018,wide_variety,CHALLENGING TASK,3,2018 3
23,2018,low_cost,ADDITIONAL HARDWARE,4,2018 4
24,2018,recent_study,CHALLENGING TASK,3,2018 3
25,2018,ai_algorithm,SEMANTIC SEGMENTATION,6,2018 6
26,2018,deep_understanding,CHALLENGING TASK,3,2018 3
27,2018,little_bit,USER EXPERIENCE,2,2018 2
28,2018,type,CHALLENGING TASK,3,2018 3
29,2018,broad_range,CHALLENGING TASK,3,2018 3
30,2018,market_growth,MYRIAD X,5,2018 5
31,2018,autonomous_vehicle,AUTONOMOUS VEHICLE,8,2018 8
32,2018,virtual_reality,AUTONOMOUS VEHICLE,8,2018 8
33,2018,computational_model,CHALLENGING TASK,3,2018 3
34,2018,social_network,USER EXPERIENCE,2,2018 2
35,2018,forecast_period,MYRIAD X,5,2018 5
36,2018,application,CHALLENGING TASK,3,2018 3
37,2018,emerge_technology,CHALLENGING TASK,3,2018 3
38,2018,right_direction,USER EXPERIENCE,2,2018 2
39,2018,self_drive_car,AUTONOMOUS VEHICLE,8,2018 8
40,2018,high_speed,ADDITIONAL HARDWARE,4,2018 4
41,2018,grow_demand,MYRIAD X,5,2018 5
42,2018,general_public,CHALLENGING TASK,3,2018 3
43,2018,three_part,CHALLENGING TASK,3,2018 3
44,2018,advance,CHALLENGING TASK,3,2018 3
45,2018,user_experience,USER EXPERIENCE,2,2018 2
46,2018,function,ADDITIONAL HARDWARE,4,2018 4
47,2018,the_session,"1,000 CATEGORY",1,2018 1
48,2018,hurdle,ADDITIONAL HARDWARE,4,2018 4
49,2018,computer_science,"1,000 CATEGORY",1,2018 1
50,2018,energy_efficiency,ADDITIONAL HARDWARE,4,2018 4
51,2018,power_consumption,ADDITIONAL HARDWARE,4,2018 4
52,2018,neural_network,SEMANTIC SEGMENTATION,6,2018 6
53,2018,stride,MYRIAD X,5,2018 5
54,2018,solar_panel,ADDITIONAL HARDWARE,4,2018 4
55,2018,performance,SEMANTIC SEGMENTATION,6,2018 6
56,2018,facial_recognition,AUTONOMOUS VEHICLE,8,2018 8
57,2018,original_content,"1,000 CATEGORY",1,2018 1
58,2018,3d_printing,AUTONOMOUS VEHICLE,8,2018 8
59,2018,specific_need,CHALLENGING TASK,3,2018 3
60,2018,software_development_kit,USER EXPERIENCE,2,2018 2
61,2018,early_development,CHALLENGING TASK,3,2018 3
62,2018,long_distance,ADDITIONAL HARDWARE,4,2018 4
63,2018,embed_vision,MYRIAD X,5,2018 5
64,2018,security_camera,AUTONOMOUS VEHICLE,8,2018 8
65,2018,convenience_store,BRICK AND MORTAR STORE,9,2018 9
66,2018,chief_scientist,"1,000 CATEGORY",1,2018 1
67,2018,natural_language_processing,CHALLENGING TASK,3,2018 3
68,2018,image_sensor,FRAME RATE,7,2018 7
69,2018,phone_interview,"1,000 CATEGORY",1,2018 1
70,2018,researcher,CHALLENGING TASK,3,2018 3
71,2018,recent_item,"1,000 CATEGORY",1,2018 1
72,2018,tech_firm,USER EXPERIENCE,2,2018 2
73,2018,computer_vision_application,SEMANTIC SEGMENTATION,6,2018 6
74,2018,bad_weather,ADDITIONAL HARDWARE,4,2018 4
75,2018,challenging_task,CHALLENGING TASK,3,2018 3
76,2018,multiple_resolution,SEMANTIC SEGMENTATION,6,2018 6
77,2018,cambridge_analytica_scandal,USER EXPERIENCE,2,2018 2
78,2018,the_rest,"1,000 CATEGORY",1,2018 1
79,2018,high_resolution_color_image,FRAME RATE,7,2018 7
80,2018,small_scale,ADDITIONAL HARDWARE,4,2018 4
81,2018,drug_discovery,CHALLENGING TASK,3,2018 3
82,2018,community,CHALLENGING TASK,3,2018 3
83,2018,edge_computing,CHALLENGING TASK,3,2018 3
84,2018,progress,CHALLENGING TASK,3,2018 3
85,2018,imagenet_competition,"1,000 CATEGORY",1,2018 1
86,2018,important_decision,CHALLENGING TASK,3,2018 3
87,2018,day,"1,000 CATEGORY",1,2018 1
88,2018,valuable_information,CHALLENGING TASK,3,2018 3
89,2018,traffic_light,AUTONOMOUS VEHICLE,8,2018 8
90,2018,vision_relate_news,"1,000 CATEGORY",1,2018 1
91,2018,sneak_peek,USER EXPERIENCE,2,2018 2
92,2018,4_k,FRAME RATE,7,2018 7
93,2018,smart_home_gadget,USER EXPERIENCE,2,2018 2
94,2018,brick_and_mortar_store,BRICK AND MORTAR STORE,9,2018 9
95,2018,three_dimensional_structure,ADDITIONAL HARDWARE,4,2018 4
96,2018,industrial_automation,CHALLENGING TASK,3,2018 3
97,2018,form_factor,USER EXPERIENCE,2,2018 2
98,2018,complete_set,CHALLENGING TASK,3,2018 3
99,2018,move_object,SEMANTIC SEGMENTATION,6,2018 6
100,2018,open_source_software,USER EXPERIENCE,2,2018 2
101,2018,walmart_shelf,BRICK AND MORTAR STORE,9,2018 9
102,2018,dataset,SEMANTIC SEGMENTATION,6,2018 6
103,2018,feature_extraction,SEMANTIC SEGMENTATION,6,2018 6
104,2018,unmanned_aerial_vehicle,ADDITIONAL HARDWARE,4,2018 4
105,2018,initial_phase,ADDITIONAL HARDWARE,4,2018 4
106,2018,frame_rate,FRAME RATE,7,2018 7
107,2018,sensitivity,ADDITIONAL HARDWARE,4,2018 4
108,2018,company_spokesperson,USER EXPERIENCE,2,2018 2
109,2018,multi_viewpoint_camera,FRAME RATE,7,2018 7
110,2018,unique_design,ADDITIONAL HARDWARE,4,2018 4
111,2018,enhance_capability,ADDITIONAL HARDWARE,4,2018 4
112,2018,next_generation_opportunity,"1,000 CATEGORY",1,2018 1
113,2018,electronic_industry,MYRIAD X,5,2018 5
114,2018,amazon_go,BRICK AND MORTAR STORE,9,2018 9
115,2018,instagram_photo,"1,000 CATEGORY",1,2018 1
116,2018,impressive_result,SEMANTIC SEGMENTATION,6,2018 6
117,2018,manage_editor,"1,000 CATEGORY",1,2018 1
118,2018,processor_architecture,ADDITIONAL HARDWARE,4,2018 4
119,2018,medical_imaging,CHALLENGING TASK,3,2018 3
120,2018,corporate_vice_president,USER EXPERIENCE,2,2018 2
121,2018,fashion_model,"1,000 CATEGORY",1,2018 1
122,2018,facebook_ai_research_fair,"1,000 CATEGORY",1,2018 1
123,2018,single_chip,ADDITIONAL HARDWARE,4,2018 4
124,2018,visual_inspection,ADDITIONAL HARDWARE,4,2018 4
125,2018,google_system,USER EXPERIENCE,2,2018 2
126,2018,eweek_and_the_it_business_edge_network,USER EXPERIENCE,2,2018 2
127,2018,last_mile_delivery,BRICK AND MORTAR STORE,9,2018 9
128,2018,distinguished_professor,"1,000 CATEGORY",1,2018 1
129,2018,0.4s_ease,FRAME RATE,7,2018 7
130,2018,o_transition,FRAME RATE,7,2018 7
131,2018,.centered_text_area_min_height,FRAME RATE,7,2018 7
132,2018,moz_box_shadow,FRAME RATE,7,2018 7
133,2018,0_1px_2px,FRAME RATE,7,2018 7
134,2018,challenge,CHALLENGING TASK,3,2018 3
135,2018,click,USER EXPERIENCE,2,2018 2
136,2018,advisory_role,"1,000 CATEGORY",1,2018 1
137,2018,advanced_driver_assistance_system,AUTONOMOUS VEHICLE,8,2018 8
138,2018,harmful_bacteria,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
139,2018,human_action,CHALLENGING TASK,3,2018 3
140,2018,superior_dynamic_range,FRAME RATE,7,2018 7
141,2018,capture_condition,FRAME RATE,7,2018 7
142,2018,commercial_deployment,ADDITIONAL HARDWARE,4,2018 4
143,2018,complex_calculation,ADDITIONAL HARDWARE,4,2018 4
144,2018,convolutional_layer,SEMANTIC SEGMENTATION,6,2018 6
145,2018,two_process,CHALLENGING TASK,3,2018 3
146,2018,platform_policy,USER EXPERIENCE,2,2018 2
147,2018,additional_hardware,ADDITIONAL HARDWARE,4,2018 4
148,2018,only_requirement,CHALLENGING TASK,3,2018 3
149,2018,immediate_vicinity,ADDITIONAL HARDWARE,4,2018 4
150,2018,checkout_line,BRICK AND MORTAR STORE,9,2018 9
151,2018,google_pixel,USER EXPERIENCE,2,2018 2
152,2018,reset_noise,FRAME RATE,7,2018 7
153,2018,smart_doorbell_camera,"1,000 CATEGORY",1,2018 1
154,2018,special_purpose,CHALLENGING TASK,3,2018 3
155,2018,ar_glass,AUTONOMOUS VEHICLE,8,2018 8
156,2018,thumb_drive,USER EXPERIENCE,2,2018 2
157,2018,gesture_control,AUTONOMOUS VEHICLE,8,2018 8
158,2018,automate_analysis,SEMANTIC SEGMENTATION,6,2018 6
159,2018,facebook_director,USER EXPERIENCE,2,2018 2
160,2018,thermal_requirement,ADDITIONAL HARDWARE,4,2018 4
161,2018,search_space,SEMANTIC SEGMENTATION,6,2018 6
162,2018,field_programmable_gate_array,ADDITIONAL HARDWARE,4,2018 4
163,2018,place,"1,000 CATEGORY",1,2018 1
164,2018,cfe_media_content_partner,MYRIAD X,5,2018 5
165,2018,english_word,"1,000 CATEGORY",1,2018 1
166,2018,secure_boot,USER EXPERIENCE,2,2018 2
167,2018,linkedin_group,"1,000 CATEGORY",1,2018 1
168,2018,real_time_object_classification,FRAME RATE,7,2018 7
169,2018,internet.com_network,USER EXPERIENCE,2,2018 2
170,2018,blind_people,AUTONOMOUS VEHICLE,8,2018 8
171,2018,usb_3.0_port,USER EXPERIENCE,2,2018 2
172,2018,iphone_camera,FRAME RATE,7,2018 7
173,2018,vision_conference,"1,000 CATEGORY",1,2018 1
174,2018,full_rundown,USER EXPERIENCE,2,2018 2
175,2018,immediate_next_step,"1,000 CATEGORY",1,2018 1
176,2018,convnet_architecture,"1,000 CATEGORY",1,2018 1
177,2018,patient_skin,ADDITIONAL HARDWARE,4,2018 4
178,2018,old_memory,"1,000 CATEGORY",1,2018 1
179,2018,"1,500_microquadrants",MYRIAD X,5,2018 5
180,2018,machine_maker,MYRIAD X,5,2018 5
181,2018,following_screenshot,USER EXPERIENCE,2,2018 2
182,2018,white_suit,"1,000 CATEGORY",1,2018 1
183,2018,github_page,USER EXPERIENCE,2,2018 2
184,2018,open_sourcing,USER EXPERIENCE,2,2018 2
185,2018,pixel_value,FRAME RATE,7,2018 7
186,2018,f8_developer_conference,USER EXPERIENCE,2,2018 2
187,2018,print_text,"1,000 CATEGORY",1,2018 1
188,2018,rapid_implementation,ADDITIONAL HARDWARE,4,2018 4
189,2018,minimal_loss,SEMANTIC SEGMENTATION,6,2018 6
190,2018,cashierless_store,BRICK AND MORTAR STORE,9,2018 9
191,2018,1.5_percentage_point,"1,000 CATEGORY",1,2018 1
192,2018,lane_keeping,AUTONOMOUS VEHICLE,8,2018 8
193,2018,$_500_million_investment,MYRIAD X,5,2018 5
194,2018,bright_scene,FRAME RATE,7,2018 7
195,2018,dr._li,"1,000 CATEGORY",1,2018 1
196,2018,negative_feedback_loop,CHALLENGING TASK,3,2018 3
197,2018,|_receive_e_mail_update,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
198,2018,vendor_or_system_integrator,"1,000 CATEGORY",1,2018 1
199,2018,weakly_supervise_learning,SEMANTIC SEGMENTATION,6,2018 6
200,2018,contextual_awareness,CHALLENGING TASK,3,2018 3
201,2018,press_kit,"1,000 CATEGORY",1,2018 1
202,2018,semantic_segmentation,SEMANTIC SEGMENTATION,6,2018 6
203,2018,parking_assist,AUTONOMOUS VEHICLE,8,2018 8
204,2018,bounding_box,SEMANTIC SEGMENTATION,6,2018 6
205,2018,original_investor,MYRIAD X,5,2018 5
206,2018,oven_temperature,ADDITIONAL HARDWARE,4,2018 4
207,2018,a.i._research,MYRIAD X,5,2018 5
208,2018,popular_database,USER EXPERIENCE,2,2018 2
209,2018,simple_drag,USER EXPERIENCE,2,2018 2
210,2018,agricultural_drone,ADDITIONAL HARDWARE,4,2018 4
211,2018,there_’_hope,"1,000 CATEGORY",1,2018 1
212,2018,world_lead_technology_company,MYRIAD X,5,2018 5
213,2018,entirely_different_thing,"1,000 CATEGORY",1,2018 1
214,2018,aia_website,"1,000 CATEGORY",1,2018 1
215,2018,amazing_level,MYRIAD X,5,2018 5
216,2018,unnamed_investor,MYRIAD X,5,2018 5
217,2018,robotic_guidance,ADDITIONAL HARDWARE,4,2018 4
218,2018,motion_artifact,ADDITIONAL HARDWARE,4,2018 4
219,2018,accompany_hashtag,"1,000 CATEGORY",1,2018 1
220,2018,trade_off,SEMANTIC SEGMENTATION,6,2018 6
221,2018,nearly_200_employee,MYRIAD X,5,2018 5
222,2018,three_big_challenge,"1,000 CATEGORY",1,2018 1
223,2018,service_mix,"1,000 CATEGORY",1,2018 1
224,2018,fei_fei_li,"1,000 CATEGORY",1,2018 1
225,2018,export_format,USER EXPERIENCE,2,2018 2
226,2018,dot_product,SEMANTIC SEGMENTATION,6,2018 6
227,2018,flir_systems,MYRIAD X,5,2018 5
228,2018,indirect_time,"1,000 CATEGORY",1,2018 1
229,2018,openvino_toolkit,MYRIAD X,5,2018 5
230,2018,dedicated_neural_compute_engine,MYRIAD X,5,2018 5
231,2018,advanced_digital_imaging_solution,FRAME RATE,7,2018 7
232,2018,small_grocery,BRICK AND MORTAR STORE,9,2018 9
233,2018,attention_mechanism,SEMANTIC SEGMENTATION,6,2018 6
234,2018,open_source_ai_framework,"1,000 CATEGORY",1,2018 1
235,2018,coco_object_detection,"1,000 CATEGORY",1,2018 1
236,2018,mask_r_cnn,SEMANTIC SEGMENTATION,6,2018 6
237,2018,masked_face,"1,000 CATEGORY",1,2018 1
238,2018,360_capital_partners,MYRIAD X,5,2018 5
239,2018,intelligence,MYRIAD X,5,2018 5
240,2018,array_conversion,FRAME RATE,7,2018 7
241,2018,layer,ADDITIONAL HARDWARE,4,2018 4
242,2018,cedar_waxwing,ADDITIONAL HARDWARE,4,2018 4
243,2018,global_shutter_operation,FRAME RATE,7,2018 7
244,2018,linux_base_os,USER EXPERIENCE,2,2018 2
245,2018,non_trivial_problem,SEMANTIC SEGMENTATION,6,2018 6
246,2018,fiducial_marker,ADDITIONAL HARDWARE,4,2018 4
247,2018,bossa_nova_robot,BRICK AND MORTAR STORE,9,2018 9
248,2018,custom_vision_model,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
249,2018,object_recognition_research,"1,000 CATEGORY",1,2018 1
250,2018,weight_matrix,SEMANTIC SEGMENTATION,6,2018 6
251,2018,strong_enhancement,ADDITIONAL HARDWARE,4,2018 4
252,2018,zero_coding,USER EXPERIENCE,2,2018 2
253,2018,2017_2022_period,MYRIAD X,5,2018 5
254,2018,cursory_understanding,"1,000 CATEGORY",1,2018 1
255,2018,cashier_less_grocery_store,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
256,2018,intel_movidius,MYRIAD X,5,2018 5
257,2018,event_base_approach,CHALLENGING TASK,3,2018 3
258,2018,intel_vpu,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
259,2018,electronic_mirror,FRAME RATE,7,2018 7
260,2018,both_bright_and_dark_area,FRAME RATE,7,2018 7
261,2018,production_ecosystem,"1,000 CATEGORY",1,2018 1
262,2018,intel_movidius_myriad,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
263,2018,extensive_guideline,"1,000 CATEGORY",1,2018 1
264,2018,e_commerce_and_cloud_compute_giant,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
265,2018,smart_ai_algorithm,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
266,2018,2018_worldwide_developers_conference,"1,000 CATEGORY",1,2018 1
267,2018,object_detection_research,"1,000 CATEGORY",1,2018 1
268,2018,movidius_myriad_2_vision_processing_unit,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
269,2018,intel_movidius_myriad_x_vpu,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
270,2018,smart_barcode_reader,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
271,2018,flir_firefly,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
272,2018,2_vpu,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
273,2018,microsoft_custom_vision_service,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
274,2018,arm_cortex_cpu,MYRIAD X,5,2018 5
275,2018,market_opportunity,"1,000 CATEGORY",1,2018 1
276,2018,resolution_speed,USER EXPERIENCE,2,2018 2
277,2018,"17,000_hashtag",MICROSOFT CUSTOM VISION SERVICE,0,2018 0
278,2018,open_visual_inference,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
279,2018,background_clutter,SEMANTIC SEGMENTATION,6,2018 6
280,2018,intel_movidius_myriad_2_vpu,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
281,2018,"1,000_category","1,000 CATEGORY",1,2018 1
282,2018,code_free_way,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
283,2018,faster_rcnn,SEMANTIC SEGMENTATION,6,2018 6
284,2018,intel_movidius_myriad_2_vision_processing_unit,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
285,2018,cvflow_architecture,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
286,2018,soc,MYRIAD X,5,2018 5
287,2018,one_potential_answer,"1,000 CATEGORY",1,2018 1
288,2018,intel_neural_compute_stick,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
289,2018,lot_more_use_case,"1,000 CATEGORY",1,2018 1
290,2018,imagenet_validation_set,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
291,2018,$_250_m_deal,MYRIAD X,5,2018 5
292,2018,myriad_x,MYRIAD X,5,2018 5
293,2018,automatic_categorization,SEMANTIC SEGMENTATION,6,2018 6
294,2018,2_vision_processing_unit,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
295,2018,3.5_billion_publicly_available_photo,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
296,2018,firefly_camera,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
297,2018,ml_core,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
298,2018,ai_and_computer_vision_application,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
299,2018,movidius_vision_processing_unit,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
300,2018,give_optical_format,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
301,2018,pixel_functionality,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
302,2018,facebook_ai_research_team,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
303,2018,x_class_family,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
304,2018,image_analysis_professional,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
305,2018,complex_and_subjective_problem,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
306,2018,$_29_million_funding_round,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
307,2018,standard_usb_thumb_drive,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
308,2018,bot_review,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
309,2018,compact_and_low_power_camera,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
310,2018,maximum_image_detail,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
311,2018,specific_subset,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
312,2018,multiple_stick,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
313,2018,caffe2_deep_learning_framework,"1,000 CATEGORY",1,2018 1
314,2018,dsp_controller,ADDITIONAL HARDWARE,4,2018 4
315,2018,best_student_paper_award,"1,000 CATEGORY",1,2018 1
316,2018,myriad_™_2_vision_processing_unit,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
317,2018,neural_compute_engine,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
318,2018,i_o_virtualization,USER EXPERIENCE,2,2018 2
319,2018,tensorflow_objection_detection_api,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
320,2018,intel_ncs2,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
321,2018,ai_algorithm_and_computer_vision_system,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
322,2018,movidius_myriad,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
323,2018,"up_100,000_frame",MICROSOFT CUSTOM VISION SERVICE,0,2018 0
324,2018,cmos_image_technology,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
325,2018,$_420_million_contract,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
326,2018,advanced_vision_processing,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
327,2018,self_contain_neural_network,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
328,2018,optical_format,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
329,2018,long_and_interesting_journey,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
330,2018,large_series,"1,000 CATEGORY",1,2018 1
331,2018,trainer,"1,000 CATEGORY",1,2018 1
332,2018,"20,000_category",MICROSOFT CUSTOM VISION SERVICE,0,2018 0
333,2018,black_level_clamping,FRAME RATE,7,2018 7
334,2018,common_objects,"1,000 CATEGORY",1,2018 1
335,2018,carnegie_mellon_university_spinoff,MYRIAD X,5,2018 5
336,2018,know_benchmark_dataset,SEMANTIC SEGMENTATION,6,2018 6
337,2018,asil_b_support,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
338,2018,ai_developer_conference,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
339,2018,microsoft_intelligent_service,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
340,2018,b._the_company,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
341,2018,intelligent_headlight_control,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
342,2018,custom_tensorflow_lite_model,MICROSOFT CUSTOM VISION SERVICE,0,2018 0
